#OTU ID	HFD1	HFD2	HFD3	HFD4	HFD5	HFD6	NC1	NC10	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
zotu48	0	0	1	0	0	0	65	97	56	141	6	109	559	289	101	55
zotu49	0	0	41	0	50	9	388	4	2	62	1	196	0	2	1	34
zotu5	448	407	627	858	411	109	141	4380	6318	0	410	336	7594	6841	0	605
zotu50	29	85	245	35	417	81	72	60	82	163	19	88	96	64	45	45
zotu51	151	178	107	322	430	57	34	1	319	399	105	194	1	0	0	0
zotu52	11	232	431	119	34	193	28	259	118	75	27	50	320	131	145	59
zotu53	0	0	0	0	0	0	176	24	230	471	60	388	3	12	261	64
zotu54	0	0	0	0	0	0	119	232	231	206	153	141	467	433	153	140
zotu55	0	0	0	0	0	0	124	45	188	419	81	435	34	69	289	96
zotu56	45	391	370	243	34	123	99	67	38	88	30	76	51	61	149	136
zotu57	0	1	0	0	0	0	173	45	166	379	49	166	36	162	275	378
zotu58	189	89	0	3	1	1	0	306	2	0	0	1	175	417	349	277
zotu59	0	0	406	0	23	146	18	0	86	69	35	61	0	0	0	0
zotu6	4858	227	230	6754	571	187	0	0	0	0	0	0	0	0	0	0
zotu60	0	0	3	2	0	1	90	249	277	174	69	175	433	225	97	164
zotu61	15	5	364	175	309	176	69	129	107	94	46	110	188	144	262	156
zotu62	0	0	0	0	1	0	107	22	189	381	53	376	14	34	196	56
zotu63	139	292	83	327	153	133	47	115	50	62	34	49	158	160	277	140
zotu64	0	0	0	1	0	0	80	0	133	280	294	124	0	0	0	0
zotu65	0	0	0	0	0	0	3	20	7	22	2	19	148	376	111	32
zotu66	0	0	0	0	0	0	86	0	171	243	301	166	0	0	0	0
zotu67	0	0	1	0	23	4	88	9	7	97	6	208	11	0	12	280
zotu68	0	11	77	0	2	39	248	0	136	155	19	139	0	0	0	0
zotu69	12	39	65	16	177	50	47	48	127	94	69	67	287	214	191	51
zotu7	0	0	0	0	0	0	1574	2520	3665	26	899	2706	3680	1823	6201	1414
zotu70	12	164	181	108	294	146	14	22	19	60	9	35	148	127	95	33
zotu71	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	285
zotu72	0	0	0	0	0	0	98	0	234	184	198	273	0	0	0	0
zotu73	0	0	0	0	0	0	122	0	254	265	187	82	0	0	0	0
zotu74	0	0	0	0	0	0	122	0	160	176	60	308	0	0	1	2
zotu75	244	271	0	1	0	0	3	1	4	6	3	7	4	0	0	1
zotu76	0	0	53	0	25	21	131	0	245	204	44	156	0	0	0	0
zotu77	3	78	15	51	34	53	67	8	220	160	258	262	54	48	48	10
zotu78	0	0	0	0	0	0	95	0	112	131	43	234	0	0	0	0
zotu79	0	0	0	0	0	0	117	2	124	153	53	253	0	0	1	0
zotu8	0	0	0	0	0	0	332	1281	378	670	263	266	5532	2132	2798	386
zotu80	29	85	0	11	0	0	79	30	159	188	165	126	130	231	100	47
zotu81	0	2	0	0	0	0	71	0	220	148	207	185	0	0	0	0
zotu82	45	153	0	30	0	0	55	15	125	152	83	83	127	208	67	44
zotu83	0	0	0	0	0	0	0	54	1	1	1	2	261	133	72	59
zotu84	0	1	0	0	0	0	185	45	97	75	4	14	33	62	185	223
zotu85	0	0	0	0	0	0	3	49	0	4	0	2	234	175	50	50
zotu86	0	0	0	0	0	0	109	0	217	0	146	109	0	0	0	0
zotu87	0	0	2	0	0	0	3	46	1	0	0	1	211	169	50	52
zotu88	0	0	0	0	0	0	0	150	0	2	0	0	196	138	65	104
zotu89	0	0	0	2	0	0	0	123	0	0	0	0	194	112	53	69
zotu9	3569	772	5079	4827	5184	3984	0	0	0	0	0	0	0	0	0	0
zotu90	0	0	11	0	173	2	4	0	72	34	24	38	0	0	0	0
zotu91	0	0	0	0	0	0	62	0	120	103	111	178	0	0	0	0
zotu92	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	188
zotu93	0	32	0	138	0	0	0	0	0	0	0	0	0	0	0	0
zotu94	0	0	5	0	0	4	14	82	22	17	7	14	199	88	56	42
zotu95	0	0	2	0	0	0	17	74	111	61	25	60	165	105	32	47
zotu96	1	21	133	113	10	14	5	26	6	13	1	5	68	5	15	4
zotu97	0	0	0	0	0	0	0	55	0	0	0	0	163	60	19	82
zotu98	72	171	3	115	1	7	4	39	4	7	0	3	74	44	65	37
zotu99	29	16	0	125	0	0	5	5	2	7	5	18	20	9	7	0
